CASSIOPEA;;;;;;;
Alioth;é Uma;12;54;1,63;55;57;35,4
Megrez;d Uma;12;15;25,45;57;1;57,4
Phad;g Uma;11;53;49,74;53;41;41
Merak;b Uma;11;1;50,39;56;22;56,4
Dubhe;a Uma;11;3;43,84;61;45;4
OSA MENOR;;;;;0;;
Polar;a Umi;2;31;47,08;89;15;50,9
Yildun;d Umi;17;32;12,9;86;35;10,8
;é Umi;16;45;58,16;82;2;14,1
;z Umi;15;44;3,46;77;47;40,2
Kokab;b Umi;14;50;42,4;74;9;19,7
Pherkad;g Umi;15;20;43,75;71;50;2,3
;e Umi;16;17;30,5;75;45;16,9
DRAGÓN;;;;;0;;
Gianfar;l Dra;11;31;24,29;69;19;52
;k Dra;12;33;29,04;69;47;17,6
Thuban;a Dra;14;4;23,43;64;22;32,9
;i Dra;15;24;55,78;58;57;57,7
;th Dra;16;1;53,7;58;33;52
;e Dra;16;23;59,51;61;30;50,7
;z Dra;17;8;47,23;65;42;52,7
;j Dra;18;21;2,34;72;44;1,3
;é Dra;19;48;10,21;70;16;4,2
Altais;d Dra;19;12;33,15;67;39;40,7
Grumium;x Dra;17;53;31,63;56;52;20,8
Etamin;g Dra;17;56;36,38;51;29;20,2
Rastaban;b Dra;17;30;25,98;52;18;4,9
;n Dra;17;32;15,88;55;10;22,1
CORONA BOREAL;;;;;0;;
;i CrB;16;1;26,59;29;51;3,9
;é CrB;15;57;35,3;26;52;40,9
;d CrB;15;49;35,7;26;4;6,8
;g CrB;15;42;44,64;26;17;43,9
Alphecca;a CrB;15;34;41,19;26;42;53,7
Nusakan;b CrB;15;27;49,85;29;6;19,8
;th CrB;15;32;55,8;31;21;33
HERCULES;;;;;0;;
;o Her;18;7;32,55;28;45;44,9
;x Her;17;57;45,83;29;14;52,5
;m Her;17;46;27,72;27;43;21
Maasym;l Her;17;30;44,3;26;6;38,2
;d Her;17;15;1,92;24;50;22,5
;é Her;17;0;17,41;30;55;34,8
;z Her;16;41;17,48;31;36;6,8
Kornephoros;b Her;16;30;13,26;21;29;22,7
;g Her;16;21;55,24;19;9;10,9
;e Her;16;42;53,74;38;55;20,9
;p her;17;15;2,85;36;48;33
;th Her;17;56;15,18;37;15;1,9
;i Her;17;39;27,89;46;0;22,8
;s Her;16;34;6,19;42;26;12,8
;t Her;16;19;44,45;46;18;47,8
;f Her;16;8;46,2;44;56;5,3
;j Her;15;52;40,19;42;27;0
